Cabin Name,No. of Cabins,Normal Rate per Hour,Est. Cleaning Time,Sunday & Holiday Rate,Comment/s,Client,Deep Cleaning Rate,Light Deep Cleaning,Student Rate,Student S/H Rate
Small Cabin,12,€ 42.00,1 (60 mins),€ 84.00,,Kakslautanen,,,,
Medium Cabin,6,€ 51.00,1 (60 mins),€ 102.00,,Kakslautanen,,,,
Big Cabin,13,€ 60.00,1 (60 mins),€ 120.00,,Kakslautanen,,,,
Queen Suite,5,€ 60.00,1 (60 mins),€ 120.00,,Kakslautanen,,,,
Traditional House,1,€ 60.00,1 (60 mins),€ 120.00,,Kakslautanen,,,,
Turf Chamber,1,€ 60.00,1 (60 mins),€ 120.00,,Kakslautanen,,,,
Igloos,20,€ 30.00,0.75 (45 mins),€ 60.00,,Kakslautanen,,,,
Extra Bed,-,€ 12.00,1 (60 mins),€ 24.00,,Kakslautanen,,,,
EXTRA TASK,-,€ 35.00,1 (60 mins),€ 70.00,,Kakslautanen,,,,
Snow Out,-,€ 32.00,2.5 (150 mins),€ 64.00,,Kakslautanen,,,,
Small Cabin (Daily),12,€ 21.00,0.5 (30 mins),€ 42.00,,Kakslautanen,,,,
Medium Cabin (Daily),6,€ 21.00,0.5 (30 mins),€ 42.00,,Kakslautanen,,,,
Big Cabin (Daily),13,€ 23.00,0.5 (30 mins),€ 46.00,,Kakslautanen,,,,
Queen Suite (Daily),5,€ 23.00,0.5 (30 mins),€ 46.00,,Kakslautanen,,,,
Traditional House (Daily),1,€ 23.00,0.5 (30 mins),€ 46.00,,Kakslautanen,,,,
Turf Chamber (Daily),1,€ 23.00,0.5 (30 mins),€ 46.00,,Kakslautanen,,,,
Igloos (Daily),20,€ 12.00,0.334 (20 mins),€ 24.00,,Kakslautanen,,,,
Panimo Cabins,12,€ 68.25,1 (60 mins),€ 120.50,,Aikamatkat,€ 210.00,€ 110.00,€ 36.75,€ 55.50
Metsakoti A,1,€ 84.00,1 (60 mins),€ 126.00,,Aikamatkat,€ 210.00,€ 110.00,€ 36.75,€ 55.50
Metsakoti B,1,€ 84.00,1 (60 mins),€ 126.00,,Aikamatkat,€ 210.00,€ 110.00,€ 47.25,€ 70.90
Kermikkas,-,€ 36.75,1 (60 mins),€ 55.50,,Aikamatkat,-,-,-,-
Hirvasaho A2 and B1,-,€ 36.75,1 (60 mins),€ 55.50,,Aikamatkat,-,-,-,-
Hirvasaho B2,-,€ 68.25,1 (60 mins),€ 102.50,,Aikamatkat,-,-,-,-
Hirvas Apartments,-,€ 36.75,1 (60 mins),€ 55.50,,Aikamatkat,-,-,-,-
Voursa 3A and 3B,-,€ 36.75,1 (60 mins),€ 55.50,,Aikamatkat,-,-,-,-
Voursa 3C,-,€ 68.25,1 (60 mins),€ 102.50,,Aikamatkat,-,-,-,-
Moitakuru C31 and C32,-,€ 57.75,1 (60 mins),€ 87.50,,Aikamatkat,-,-,-,-
Luulampi,-,€ 68.25,1 (60 mins),€ 102.50,,Aikamatkat,-,-,-,-
Metashirvas,-,€ 73.50,1 (60 mins),€ 110.25,,Aikamatkat,-,-,-,-
Kelotähti,-,€ 73.50,1 (60 mins),€ 110.25,,Aikamatkat,-,-,-,-
Raahenmaja,-,€ 94.50,1 (60 mins),€ 141.75,,Aikamatkat,-,-,-,-
